No,Keyword,Search Volume,CPC,Paid Difficulty,Search Difficulty
1,"pagina web",18100,"$5.623,16",42,36
2,"pagina web crear",9900,"$27.505,08",56,32
3,"pagina web q es",8100,"$2.035,56",9,10
4,"pagina web que es",8100,"$2.035,56",9,10
5,"pagina web gratis",2900,"$28.391,12",61,32
6,"pagina web gratuita",2900,"$28.391,12",61,32
7,"pagina web cam",1600,"$518,21",47,28
8,"pagina web bogota",1000,"$5.338,21",59,31
9,"pagina web ejemplos",590,"$3.741,84",19,19
10,"pagina web que es y para que sirve",590,"$4.206,45",10,8
11,"pagina web definicion",590,"$2.194,53",6,15
12,"página web no disponible",480,"$2.758,77",22,12
13,"pagina web en html",320,"$4.349,98",27,14
14,"pagina web html",320,"$4.349,98",27,22
15,"pagina web gratis wix",320,"$1.559,74",26,13
16,"pagina web colombia",260,"$3.758,44",74,36
17,"pagina web significado",260,"$2.697,83",12,17
18,"pagina web youtube",260,"$3.962,82",10,16
19,"pagina web normas apa",210,"$18.396,10",2,6
20,"pagina web logo",170,"$522,94",6,15
21,"pagina web con google",140,"$7.112,07",33,15
22,"pagina web google",140,"$7.112,07",33,23
23,"pagina web dinamica",140,"$4.523,79",18,19
24,"pagina web en wordpress",110,"$4.658,02",54,22
25,"pagina web wordpress",110,"$4.658,02",54,30
26,"pagina web html ejemplo",110,"$2.455,61",12,9
27,"pagina web para ver peliculas gratis",110,"$2.612,95",12,9
28,"pagina web del sena",110,"$1.214,13",11,9
29,"pagina web sena",110,"$1.214,13",11,17
30,"pagina web estatica",110,"$2.010,91",9,16
31,"pagina web apa",110,"$11.545,73",4,15
32,"pagina web gratis google",90,"$3.895,42",46,19
33,"pagina web a pdf",90,"$1.096,60",7,8
34,"pagina web barata",70,"$1.724,44",46,27
35,"pagina web claro",70,"$1.869,21",35,24
36,"pagina web avianca",70,"$511,66",31,23
37,"pagina web en wix",70,"$1.724,01",23,12
38,"pagina web exito",70,"$1.733,87",12,17
39,"pagina web wikipedia",70,"$1.123,30",9,16
40,"pagina web www.bancoagrario.gov.co",70,"$346,89",4,15
41,"pagina web png",70,"$0,00",1,13
42,"pagina web profesional",50,"$2.198,87",73,35
43,"pagina web godaddy",50,"$3.953,93",39,25
44,"pagina web sencilla",50,"$4.095,03",35,24
45,"pagina web o blog",50,"$6.395,29",25,13
46,"pagina web en ingles",50,"$3.231,99",24,13
47,"pagina web ingles",50,"$3.231,99",24,21
48,"pagina web interactiva",50,"$5.640,39",16,18
49,"pagina web de la dian",50,"$6.254,74",11,9
50,"pagina web en word",50,"$2.737,10",8,8
51,"pagina web concepto",50,"$296,32",6,15
52,"pagina web policia nacional",50,"$0,00",1,6
53,"pagina web moderna",40,"$2.639,73",41,26
54,"pagina web movistar",40,"$1.226,43",27,22
55,"pagina web personal",40,"$4.564,70",24,21
56,"pagina web institucional",40,"$6.592,82",23,20
57,"pagina web o sitio web",40,"$0,00",16,10
58,"pagina web y sitio web",40,"$0,00",16,10
59,"pagina web eficacia",40,"$0,00",11,17
60,"pagina web bloc de notas",40,"$3.716,27",9,8
61,"pagina web generacion e",40,"$5.505,90",7,8
62,"pagina web icono",40,"$0,00",6,15
